Project,Applicant Type,OSS Directory,Link,Githubs,Tags
Muhammad Farhan,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xD06effe40d754DDea09F16B703E8126f2bD3982E.json,,END_USER_EXPERIENCE_AND_ADOPTION
Muhammad Imam Kurniawan,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xCd5367827fc644E00db7d48f29A785D622Dd9E83.json,,END_USER_EXPERIENCE_AND_ADOPTION
ShubzyBaker,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x02C435d8189D9a983CDBD77F2109fdd5663A33BB.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
Artsybarber.eth,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xef4c8055bFa5b4476deFc1051850698463B9f8A1.json,,END_USER_EXPERIENCE_AND_ADOPTION
Billythecrypto,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x81F10d99464d604EA1E9242DC71733a506E95b4e.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
Jarment32,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xb8d3B75EF1719A0D4f20224686F7e314Ccb3315C.json,,END_USER_EXPERIENCE_AND_ADOPTION
sunarto sihite,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xe968C0151F9855089140e03F2365B11b18e6a5d3.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
kurt,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xd4726114bEB61a0239d9C0CD935De170BddbbB7E.json,,END_USER_EXPERIENCE_AND_ADOPTION
windc,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x66Ba4988156aBEF92Aa6Ef2f0E66776b826c5eF8.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
mahachai,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5E014aa0649102E07c074f498845F01BCD520317.json,,END_USER_EXPERIENCE_AND_ADOPTION
EzWada,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xE4369BE6dF50Aa406DB8212Ae00CF81917C848ea.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
Abkkumo67,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xc509ae016D87DefBB6240807FE9f9BfC256EF3eA.json,,END_USER_EXPERIENCE_AND_ADOPTION
stevennendy,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x4e3be30D17F2373Cd9b42694C1675D0a14b1c08f.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
PoorMan,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xe94ECbe410Dc32E8753347ef7DaDF2103811cF74.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Nam Mai Phuong,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x48F88d0e26704363eA72EEF6dCBF198E1F32d4D4.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Duong Viet Phuc,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5635388c4E0a2117fd1Fe9501Aa6E1FCeb31cca6.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Linkie,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x85C6F217D0375E5dC7b249B5bC12577B051bf417.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
Tor,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xa3f13c688d8E124c774fafE73920D47f457F8c8c.json,,COLLECTIVE_GOVERNANCE
Chef Tony,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x92bf7D200b62ea43CFE26BDAbc1779E2dC076D67.json,,END_USER_EXPERIENCE_AND_ADOPTION
romeji,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xF1D11d037344B14629fbCF094eA652ADe9f37A4a.json,,END_USER_EXPERIENCE_AND_ADOPTION
real_,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x12481822efb3c546AC945C17c8EC54a63Bc95B5C.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
NonnoN,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x28ECb498b2f34Dd717AEE529de358005E88669e5.json,,COLLECTIVE_GOVERNANCE
ATK,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x80f8eFb44b3bbC088B3360266c29DAcEFf1a8C3F.json,,END_USER_EXPERIENCE_AND_ADOPTION
Akash,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xfC613263330499d7cB625b37eff0231765297d71.json,,END_USER_EXPERIENCE_AND_ADOPTION
Zor0001,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x98df92976Cfd2469c3Ce238b40Fb672266E08A9D.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Nafsu,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x156DEC0C2C1F714c70Ad55258E92c681Dd68119E.json,,OP_STACK
FA40Ziv,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5cACae1b51d643CD1bc976cCa9B5E05837a6Bb35.json,,END_USER_EXPERIENCE_AND_ADOPTION
TTF,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xd47315929C1A1757782453B776ada2cbEfacEFfB.json,,"COLLECTIVE_GOVERNANCE, OP_STACK"
ompong,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xc513fb4b979f1CeFC43682CA7aB4A19CEe1caCC2.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
odonoghue1129,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x865422A83e3138EcE7cf6b7C792e4174079ad169.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
polynya,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x429F9aDA43e9F345CbB85EC88681BB70Df808892.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
Buchidavid,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xD22ea86003c1Bd1cBDD887DDA1464b07A5718369.json,,"COLLECTIVE_GOVERNANCE, OP_STACK"
airdropstreet,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x2eEaD1E4a1964dc9204A2eE1C08096DA951Fa8FC.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Cryptoreine,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x222988f898B6Eba86a7c0bf331bE672D49534834.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Fortran,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x11Db6D0fe96667D6Ff46fEbB1226a7538D33B592.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
MAirdropFarmer,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x2E32E3c59a8259C7FfEB971F83237b0335245ad8.json,,END_USER_EXPERIENCE_AND_ADOPTION
terrarekt,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xb55Dc6944711218c9bEFb93D6Fc9C0bE91ecB6bE.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
GH0x111,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x65DC3d4512B0F506Eb4d139c5140611D2A60D527.json,,END_USER_EXPERIENCE_AND_ADOPTION
saku,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3C43AA8E525d0CA2fab672CD55F79dE777295e99.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
viethm91,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xe437BC0fE994a491d01Ea651ed63C0892d85ce45.json,,COLLECTIVE_GOVERNANCE
coinman,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x7626fbA64DEB1683a364c32F30370215f05C1F09.json,,END_USER_EXPERIENCE_AND_ADOPTION
Muhammad Saqib,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x95e9ffc26Cb33FA701A56862cd6E2b4c96Cb444e.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
OP News by ETH Daily,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xEB40A065854bd90126A4E697aeA0976BA51b2eE7.json,,END_USER_EXPERIENCE_AND_ADOPTION
5758 MASTER,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1827741B58403F031A9D65E3AA628f9E9564a5A6.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
Zahk,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xC744785D6cCAa01805a6995136Eb24f84a088Dcb.json,,COLLECTIVE_GOVERNANCE
JamesCamsHouse,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x72365e20475Ca0Ac6423F71b5Da97dbEB8Bb6c20.json,,END_USER_EXPERIENCE_AND_ADOPTION
OpLion,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xd3814dc9CE28F8388e6254aA48429a8f9BC08b95.json,,END_USER_EXPERIENCE_AND_ADOPTION
thanh,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x33Ff3C111DE5F4b89Cd4bdCc0ed99c46Ca1e9541.json,,END_USER_EXPERIENCE_AND_ADOPTION
Harishchauhan911,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x2354A17dA6D086AC1f550c79A84aD9B152E893c2.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
888Vigilantes,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xE240CaE95866BEE29a0d94B2030096B6Fe0446E0.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Rainie,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x98289029B0d4bB73Ead9Eb1A3300eD724Fcf6779.json,,END_USER_EXPERIENCE_AND_ADOPTION
grafixart,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xea2691d4a38948Ef0CE42e0c1a326B21B9eE5939.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Coinlord,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xCF8BE0c141fB112eAF8fcC9b8406CBEdbC6F296D.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
yiyi,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x43f708c3f68B5fE2Fe5cf38844b56613c71fc544.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
minh_i_guess,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x47fac95efEF39c7cE44E9870cede1894666dF166.json,,END_USER_EXPERIENCE_AND_ADOPTION
Constantin,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xf96040c42b7FdaD04402eD39579b7763A7159a49.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
Rishi,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x70D5808d656A505A66E77C6e7178E44a305f0f8E.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
zerokn0wledge,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xCb31f0beCfc9D011676E7F84CbCD10fe4717f252.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
bal,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1FE95940c8a44aD3a27720A94c1ecC4c33e9480F.json,,OP_STACK
YUDHISTIRA WIJAYA,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x6424eF8136a0cd64E95d953D3B40e058F1278f90.json,,OP_STACK
Urusto,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xA527e8209E784a2DAC1c1c0C157B185711A06E4B.json,,OP_STACK
DracheTech11,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x4c7e3daA6771f1085A726b3C07a0BBAb607Fe625.json,,END_USER_EXPERIENCE_AND_ADOPTION
Stanton,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xBC72198d65075Fdad2CA7B8db79EfF5B51c8B30D.json,,END_USER_EXPERIENCE_AND_ADOPTION
dragdrasel,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3A18da831eBd8860e81130D25342DB3481eE06c1.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
a3mirabi,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x36e6b91707B913E1304ca405E9cf96d440A67755.json,,COLLECTIVE_GOVERNANCE
Vertual,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x85BD6874CE656b3ab058DF04d1b64f30b15d350d.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
Nguyễn Đức Việt,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xCa1A6e5fE34293775fE0dD109d74539b567eEc34.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
OP News,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xEB40A065854bd90126A4E697aeA0976BA51b2eE7.json,,END_USER_EXPERIENCE_AND_ADOPTION
schlienger damien,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x807338C1EE3c87A19eEbf5351341A2638dc167c5.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
Satonaku,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1810bb2Face5711D20F0C5DA104415B96adad122.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Luisvi,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x66ec901E8eD387d48535C953F79fF6e7cCCDCC53.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Rafael,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x0ca34B96F8c33fF40dCB463a6e976697B6ff7010.json,,END_USER_EXPERIENCE_AND_ADOPTION
Mamsky86,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3c28CAEF950AE11973A007440929d0689d8eaD8D.json,,OP_STACK
NingNing,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x99B10bed6b630a1d60109b28dd2373696A79917C.json,,END_USER_EXPERIENCE_AND_ADOPTION
Nangkos88,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x9C4e57db42c9d8C5Ef233c74FB37bABA630b88d3.json,,END_USER_EXPERIENCE_AND_ADOPTION
ajrony,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x383b0ddAA84E9488600a59d965e1BEA37719F806.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
Pedro,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xde1d5263195e5fEbF250a95B75f74C9A812208D1.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
thebank,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x0bF1fEe0f3DBb4031e4C12E2985df93F267D53AB.json,,COLLECTIVE_GOVERNANCE
0xuknw,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x0Bc0A524ECd730be22A5d8f697efeC818FDE0E65.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
coreleo,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x376bE65e21fd6F1599e6E04BD4C0c421A3Ab3921.json,,END_USER_EXPERIENCE_AND_ADOPTION
Malzz,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1Fe38ABa75d5Eb1a9B4BeF00613ad225d8092D18.json,,COLLECTIVE_GOVERNANCE
En Crypted,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xD6cb436B1634d9c4DEe2D6967b8A6aDABC2f89Ac.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Moonverse,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5Bce25397eEfbc76f6479e6838c00a5115dbEA4c.json,,END_USER_EXPERIENCE_AND_ADOPTION
nikoskoukos,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xe53113cc7A30154FFc5Cb9B3004817dD1de9A515.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
l3erry,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x96f5771eecAA02314bbb98C5F301ceCEFDfe111f.json,,END_USER_EXPERIENCE_AND_ADOPTION
Farzad,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xAd33D7e203441180E5CF5b98B8DE1c00e9Cd07a8.json,,COLLECTIVE_GOVERNANCE
Tonyxb,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xB4244A468c035EB3fB42D4aA93040c4Bf1Bcc7b5.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Mike,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x6b31B3487eBC37e4c6c730cD1E1f9b45afEF5D0F.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Thesleeper.eth Thai OP Educator,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x00409fC839a2Ec2e6d12305423d37Cd011279C09.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
CryptoMage,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1609f039A96ce10756f5C6D403a80400DC081a02.json,,"END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Zero,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x7B5E58994020Fc30836D8506bcD8739385fb5f38.json,,END_USER_EXPERIENCE_AND_ADOPTION
MaitreSarce,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x45C3707c25eCe1e4705a5d708685f0a77Dc18cD1.json,,END_USER_EXPERIENCE_AND_ADOPTION
Muhammad Oki Rifai,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x54836b01Fa251B41Aa15b1Fad8Ec3B76Ac3a53ad.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
syd047379,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x7bfa88D2E83d910adAd4C6bc149e35DF864D9Df3.json,,END_USER_EXPERIENCE_AND_ADOPTION
EQSS,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xCBAE3416e965D138B000452048495D010A971840.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
vinit gohil,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xdc4C44943bFBC9f87D0f1FE11d69a4b814D3608c.json,,END_USER_EXPERIENCE_AND_ADOPTION
Nop99,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xD923dE646D3f0BB9Eb7f9169f259C79C3edE2188.json,,COLLECTIVE_GOVERNANCE
Collins,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xC643aE4336736989dbBF0D20B3641B2A32e77Bb1.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Hyacinthe Gourmelen,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5D05d05e8811865C32B0dD726939BeA795B975fF.json,,END_USER_EXPERIENCE_AND_ADOPTION
Artislamic,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x65EbaF17EbB138d926dd514664a6718c5cB9D07c.json,,DEVELOPER_ECOSYSTEM
พงศ์พิชา,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x0eEc442c632f5DA69CAC03439cecd6Cc001f1a71.json,,END_USER_EXPERIENCE_AND_ADOPTION
jordanmmck,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x29FF795B015652EdFB9883bB83B3E9bE3c207e62.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
c2ba,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x49a5492FDFe5AcC966dD5f41310dfDfe8dAA349C.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
budi ganteng,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x88C599939983d1BE79A8645D6428388AD7d8C4e7.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
mukmin,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xF47027F3eDCb1F0b6861a25E6f3738E398440e11.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Joe,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x097f53E27C122917f5fBDBFBD657b5B3E1040e86.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
starvibez,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5D40451dC574997C61E16C30A5c0E3ada80B8E3B.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
kardhus,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x75b286d43D4F29783337d769C9F0047F4c0c73C7.json,,END_USER_EXPERIENCE_AND_ADOPTION
lu2,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x9Bfc25E552250ac2C00431D71C5f840B74e798fa.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
mootion,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xbD7DBd5AbEBB79F899c8D74a03855181F9BEAe37.json,,"COLLECTIVE_GOVERNANCE, OP_STACK"
Spring Zhang,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xdbE38D1d3631a04875d3FAd945D0dFcb2C20f91c.json,,END_USER_EXPERIENCE_AND_ADOPTION
MB100,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x22a8D39eF6B62B76A8Eb8F16116F57AC061a4c97.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Roif,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xa87EC1DbBdbcD8b18902DCBC694A9ee58999c16f.json,,END_USER_EXPERIENCE_AND_ADOPTION
azeem,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x9600e2eE6377DAdad7299B120026661c336A5e6d.json,,OP_STACK
Xofee,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xFF141bFc450c57Ad84eBaFbD09ffa94A268a7aaE.json,,END_USER_EXPERIENCE_AND_ADOPTION
mygreenbucks,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xE393FB40b5C70F83eF20aB49c8f0ba2c6DB47827.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
FFKQ,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xd5dA7E68050C41F96207C1D19392307A63B53810.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
CoinRuay,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x054Becf10c79aFa4e60F75B187837bE9Fb83867D.json,,END_USER_EXPERIENCE_AND_ADOPTION
